q0,q1,q2,q3,q4,q5,q6
-0.250162372,-0.478018317,-0.383169053,-1.159885816,0.560490629,0.589542446,-0.256957496
-0.250454321,-0.477679699,-0.383056694,-1.162833123,0.559538652,0.589414868,-0.256859287
-0.250749131,-0.477336434,-0.382946369,-1.165775266,0.558582876,0.589285371,-0.256762791
-0.251046798,-0.476988518,-0.382838083,-1.168712225,0.557623308,0.589153958,-0.256668013
-0.251347318,-0.476635948,-0.382731840,-1.171643981,0.556659959,0.589020635,-0.256574959
-0.251650686,-0.476278723,-0.382627646,-1.174570515,0.555692838,0.588885406,-0.256483633
-0.251956898,-0.475916840,-0.382525505,-1.177491809,0.554721952,0.588748274,-0.256394040
-0.252265951,-0.475550296,-0.382425422,-1.180407844,0.553747312,0.588609244,-0.256306186
-0.252577841,-0.475179090,-0.382327401,-1.183318600,0.552768926,0.588468321,-0.256220074
-0.252892562,-0.474803218,-0.382231447,-1.186224060,0.551786804,0.588325508,-0.256135711
-0.253210111,-0.474422680,-0.382137565,-1.189124204,0.550800954,0.588180810,-0.256053101
-0.253530483,-0.474037472,-0.382045758,-1.192019014,0.549811386,0.588034232,-0.255972248
-0.253853674,-0.473647593,-0.381956033,-1.194908471,0.548818108,0.587885777,-0.255893158
-0.254179679,-0.473253041,-0.381868392,-1.197792556,0.547821131,0.587735449,-0.255815836
-0.254508495,-0.472853813,-0.381782841,-1.200671252,0.546820463,0.587583254,-0.255740286
-0.254840117,-0.472449908,-0.381699384,-1.203544539,0.545816114,0.587429195,-0.255666513
-0.255174539,-0.472041324,-0.381618026,-1.206412399,0.544808092,0.587273277,-0.255594521
-0.255511758,-0.471628058,-0.381538771,-1.209274813,0.543796408,0.587115504,-0.255524316
-0.255851769,-0.471210109,-0.381461623,-1.212131764,0.542781070,0.586955880,-0.255455902
-0.256194568,-0.470787476,-0.381386588,-1.214983232,0.541762088,0.586794410,-0.255389284
-0.256540149,-0.470360156,-0.381313668,-1.217829200,0.540739472,0.586631097,-0.255324466
-0.256888509,-0.469928148,-0.381242869,-1.220669649,0.539713230,0.586465947,-0.255261453
-0.257239641,-0.469491451,-0.381174195,-1.223504561,0.538683372,0.586298963,-0.255200250
