tau1,tau2,tau3,tau4,tau5,tau6,tau7
16.387624,14.341315,6.003848,5.026198,-0.177599,0.274079,-0.396460
16.381278,14.332521,6.014653,5.013141,-0.177284,0.273881,-0.396149
16.374871,14.323614,6.025440,5.000054,-0.176971,0.273681,-0.395840
16.368403,14.314594,6.036208,4.986937,-0.176658,0.273477,-0.395534
16.361873,14.305462,6.046959,4.973790,-0.176347,0.273272,-0.395230
16.355282,14.296222,6.057690,4.960613,-0.176037,0.273063,-0.394929
16.348628,14.286873,6.068402,4.947405,-0.175728,0.272853,-0.394630
16.341910,14.277418,6.079094,4.934168,-0.175421,0.272639,-0.394334
16.335130,14.267859,6.089767,4.920900,-0.175114,0.272424,-0.394040
16.328285,14.258195,6.100418,4.907602,-0.174809,0.272206,-0.393748
16.321376,14.248431,6.111049,4.894274,-0.174506,0.271985,-0.393459
16.314402,14.238566,6.121658,4.880917,-0.174203,0.271763,-0.393172
16.307362,14.228602,6.132245,4.867529,-0.173901,0.271538,-0.392888
16.300257,14.218541,6.142809,4.854111,-0.173601,0.271311,-0.392605
16.293085,14.208385,6.153351,4.840663,-0.173302,0.271081,-0.392325
16.285846,14.198135,6.163869,4.827186,-0.173004,0.270850,-0.392047
16.278540,14.187792,6.174364,4.813679,-0.172707,0.270616,-0.391772
16.271165,14.177359,6.184834,4.800141,-0.172411,0.270380,-0.391499
16.263723,14.166837,6.195279,4.786575,-0.172117,0.270142,-0.391227
16.256211,14.156226,6.205699,4.772978,-0.171823,0.269902,-0.390958
16.248630,14.145530,6.216093,4.759352,-0.171530,0.269660,-0.390692
16.240978,14.134749,6.226461,4.745696,-0.171239,0.269416,-0.390427
16.233256,14.123885,6.236802,4.732011,-0.170949,0.269169,-0.390164
16.225463,14.112940,6.247116,4.718296,-0.170659,0.268921,-0.389904
16.217599,14.101915,6.257402,4.704552,-0.170371,0.268671,-0.389645
16.209662,14.090812,6.267660,4.690779,-0.170084,0.268420,-0.389389
16.201652,14.079633,6.277889,4.676977,-0.169798,0.268166,-0.389135
16.193569,14.068378,6.288089,4.663145,-0.169513,0.267910,-0.388882
16.185413,14.057050,6.298258,4.649285,-0.169228,0.267653,-0.388632
16.177182,14.045650,6.308398,4.635395,-0.168945,0.267394,-0.388384
16.168876,14.034180,6.318506,4.621477,-0.168663,0.267133,-0.388137
16.160494,14.022641,6.328583,4.607530,-0.168382,0.266870,-0.387893
16.152037,14.011035,6.338628,4.593554,-0.168101,0.266606,-0.387650
16.143503,13.999363,6.348641,4.579550,-0.167822,0.266340,-0.387410
16.134892,13.987628,6.358620,4.565517,-0.167543,0.266072,-0.387171
16.126203,13.975830,6.368566,4.551456,-0.167266,0.265803,-0.386934
16.117436,13.963971,6.378478,4.537367,-0.166989,0.265532,-0.386699
16.108590,13.952053,6.388355,4.523250,-0.166713,0.265260,-0.386465
16.099665,13.940078,6.398197,4.509104,-0.166438,0.264986,-0.386234
16.090660,13.928046,6.408003,4.494931,-0.166164,0.264711,-0.386004
16.081575,13.915960,6.417773,4.480730,-0.165891,0.264434,-0.385776
16.072408,13.903821,6.427506,4.466502,-0.165618,0.264156,-0.385550
16.063160,13.891631,6.437202,4.452246,-0.165347,0.263877,-0.385325
16.053829,13.879391,6.446860,4.437963,-0.165076,0.263596,-0.385102
16.044416,13.867103,6.456479,4.423653,-0.164806,0.263314,-0.384881
16.034920,13.854768,6.466059,4.409315,-0.164537,0.263030,-0.384661
16.025339,13.842389,6.475599,4.394951,-0.164268,0.262745,-0.384443
16.015675,13.829965,6.485100,4.380560,-0.164001,0.262459,-0.384227
16.005925,13.817500,6.494559,4.366143,-0.163734,0.262172,-0.384012
15.996090,13.804995,6.503978,4.351699,-0.163468,0.261884,-0.383799
15.986168,13.792451,6.513354,4.337229,-0.163202,0.261594,-0.383587
15.976160,13.779870,6.522688,4.322733,-0.162938,0.261303,-0.383377
15.966065,13.767253,6.531979,4.308211,-0.162673,0.261012,-0.383169
15.955882,13.754602,6.541227,4.293664,-0.162410,0.260719,-0.382961
15.945611,13.741918,6.550430,4.279090,-0.162147,0.260425,-0.382756
15.935250,13.729203,6.559589,4.264492,-0.161885,0.260130,-0.382552
15.924800,13.716459,6.568703,4.249868,-0.161624,0.259834,-0.382349
15.914261,13.703687,6.577771,4.235220,-0.161363,0.259537,-0.382147
15.903630,13.690889,6.586792,4.220546,-0.161103,0.259239,-0.381947
15.892909,13.678066,6.595767,4.205849,-0.160844,0.258940,-0.381749
15.882095,13.665219,6.604695,4.191126,-0.160585,0.258641,-0.381551
15.871190,13.652351,6.613574,4.176380,-0.160327,0.258340,-0.381356
15.860192,13.639463,6.622405,4.161610,-0.160069,0.258039,-0.381161
15.849100,13.626555,6.631187,4.146815,-0.159812,0.257737,-0.380968
15.837915,13.613631,6.639919,4.131998,-0.159555,0.257434,-0.380775
15.826635,13.600691,6.648601,4.117157,-0.159299,0.257130,-0.380585
15.815260,13.587736,6.657232,4.102293,-0.159044,0.256826,-0.380395
15.803790,13.574769,6.665812,4.087406,-0.158789,0.256521,-0.380207
15.792223,13.561791,6.674340,4.072497,-0.158534,0.256216,-0.380019
15.780560,13.548803,6.682816,4.057565,-0.158280,0.255909,-0.379833
15.768800,13.535807,6.691239,4.042611,-0.158027,0.255602,-0.379649
15.756942,13.522804,6.699608,4.027635,-0.157774,0.255295,-0.379465
15.744986,13.509796,6.707923,4.012637,-0.157521,0.254987,-0.379282
15.732932,13.496785,6.716184,3.997618,-0.157269,0.254678,-0.379101
15.720778,13.483771,6.724390,3.982578,-0.157017,0.254369,-0.378920
15.708524,13.470756,6.732540,3.967517,-0.156766,0.254060,-0.378741
15.696171,13.457742,6.740634,3.952436,-0.156515,0.253750,-0.378563
15.683716,13.444730,6.748671,3.937333,-0.156265,0.253440,-0.378385
15.671160,13.431721,6.756651,3.922211,-0.156015,0.253129,-0.378209
15.658502,13.418718,6.764574,3.907069,-0.155765,0.252818,-0.378034
15.645743,13.405720,6.772438,3.891907,-0.155516,0.252506,-0.377860
15.632880,13.392731,6.780243,3.876726,-0.155267,0.252194,-0.377686
15.619914,13.379752,6.787989,3.861526,-0.155018,0.251882,-0.377514
15.606844,13.366782,6.795675,3.846307,-0.154770,0.251570,-0.377342
15.593669,13.353826,6.803301,3.831070,-0.154522,0.251257,-0.377172
15.580390,13.340882,6.810866,3.815814,-0.154274,0.250945,-0.377002
15.567006,13.327954,6.818370,3.800541,-0.154027,0.250632,-0.376833
15.553516,13.315042,6.825812,3.785250,-0.153780,0.250318,-0.376665
15.539920,13.302148,6.833192,3.769941,-0.153533,0.250005,-0.376498
15.526217,13.289273,6.840508,3.754616,-0.153286,0.249692,-0.376332
15.512406,13.276418,6.847762,3.739274,-0.153040,0.249378,-0.376167
15.498488,13.263586,6.854951,3.723915,-0.152794,0.249065,-0.376002
15.484462,13.250777,6.862076,3.708541,-0.152548,0.248751,-0.375838
15.470327,13.237992,6.869137,3.693150,-0.152303,0.248437,-0.375675
15.456084,13.225234,6.876132,3.677745,-0.152057,0.248124,-0.375512
15.441730,13.212502,6.883062,3.662323,-0.151812,0.247810,-0.375351
15.427267,13.199800,6.889925,3.646888,-0.151567,0.247496,-0.375190
15.412693,13.187128,6.896721,3.631437,-0.151323,0.247183,-0.375029
15.398009,13.174487,6.903451,3.615973,-0.151078,0.246869,-0.374870
15.383213,13.161878,6.910112,3.600494,-0.150834,0.246556,-0.374711
15.368305,13.149304,6.916706,3.585002,-0.150589,0.246243,-0.374552
15.353285,13.136765,6.923231,3.569497,-0.150345,0.245930,-0.374395
15.338153,13.124263,6.929687,3.553979,-0.150101,0.245617,-0.374237
15.322907,13.111798,6.936074,3.538449,-0.149857,0.245304,-0.374081
15.307548,13.099373,6.942391,3.522906,-0.149613,0.244992,-0.373925
15.292075,13.086989,6.948637,3.507352,-0.149370,0.244680,-0.373770
15.276488,13.074646,6.954813,3.491786,-0.149126,0.244368,-0.373615
15.260786,13.062346,6.960917,3.476209,-0.148883,0.244057,-0.373460
15.244969,13.050090,6.966950,3.460622,-0.148639,0.243745,-0.373307
15.229036,13.037880,6.972911,3.445024,-0.148396,0.243434,-0.373153
15.212987,13.025717,6.978800,3.429416,-0.148152,0.243124,-0.373001
15.196823,13.013601,6.984616,3.413798,-0.147909,0.242814,-0.372848
15.180541,13.001535,6.990358,3.398171,-0.147666,0.242504,-0.372697
15.164142,12.989520,6.996027,3.382535,-0.147423,0.242195,-0.372545
15.147626,12.977556,7.001621,3.366890,-0.147179,0.241886,-0.372394
15.130992,12.965644,7.007142,3.351238,-0.146936,0.241577,-0.372244
15.114240,12.953787,7.012587,3.335577,-0.146693,0.241270,-0.372094
15.097369,12.941986,7.017957,3.319909,-0.146450,0.240962,-0.371944
15.080379,12.930240,7.023252,3.304235,-0.146206,0.240655,-0.371795
15.063270,12.918552,7.028471,3.288553,-0.145963,0.240349,-0.371646
15.046041,12.906923,7.033613,3.272865,-0.145720,0.240043,-0.371497
15.028692,12.895354,7.038678,3.257172,-0.145477,0.239738,-0.371349
15.011223,12.883846,7.043667,3.241472,-0.145233,0.239433,-0.371201
14.993633,12.872400,7.048578,3.225768,-0.144990,0.239130,-0.371054
14.975922,12.861017,7.053411,3.210059,-0.144746,0.238826,-0.370906
14.958089,12.849699,7.058166,3.194346,-0.144502,0.238524,-0.370759
14.940135,12.838446,7.062843,3.178629,-0.144259,0.238222,-0.370613
14.922059,12.827260,7.067441,3.162909,-0.144015,0.237921,-0.370466
14.903860,12.816141,7.071960,3.147185,-0.143771,0.237620,-0.370320
14.885538,12.805092,7.076399,3.131459,-0.143527,0.237320,-0.370174
14.867094,12.794112,7.080759,3.115731,-0.143282,0.237021,-0.370029
14.848526,12.783203,7.085038,3.100000,-0.143038,0.236723,-0.369883
14.829835,12.772366,7.089237,3.084269,-0.142794,0.236426,-0.369738
14.811020,12.761602,7.093355,3.068536,-0.142549,0.236129,-0.369593
14.792080,12.750913,7.097393,3.052803,-0.142304,0.235833,-0.369449
14.773016,12.740298,7.101349,3.037069,-0.142059,0.235538,-0.369304
14.753827,12.729760,7.105223,3.021336,-0.141814,0.235244,-0.369160
14.734513,12.719298,7.109016,3.005604,-0.141569,0.234951,-0.369015
14.715074,12.708915,7.112726,2.989873,-0.141323,0.234659,-0.368871
14.695509,12.698611,7.116354,2.974143,-0.141078,0.234367,-0.368727
14.675818,12.688387,7.119900,2.958416,-0.140832,0.234077,-0.368584
14.656001,12.678245,7.123362,2.942690,-0.140586,0.233787,-0.368440
14.636058,12.668184,7.126741,2.926968,-0.140339,0.233499,-0.368296
14.615988,12.658206,7.130037,2.911249,-0.140093,0.233211,-0.368153
14.595791,12.648313,7.133249,2.895534,-0.139846,0.232925,-0.368010
14.575466,12.638504,7.136377,2.879823,-0.139599,0.232639,-0.367866
14.555015,12.628781,7.139421,2.864117,-0.139352,0.232355,-0.367723
14.534435,12.619145,7.142381,2.848415,-0.139104,0.232071,-0.367580
14.513728,12.609596,7.145256,2.832720,-0.138856,0.231789,-0.367437
14.492892,12.600136,7.148046,2.817030,-0.138608,0.231508,-0.367294
14.471929,12.590766,7.150751,2.801347,-0.138360,0.231227,-0.367151
14.450836,12.581486,7.153370,2.785670,-0.138112,0.230948,-0.367009
14.429615,12.572297,7.155904,2.770001,-0.137863,0.230670,-0.366866
14.408265,12.563200,7.158353,2.754340,-0.137613,0.230394,-0.366723
14.386785,12.554196,7.160715,2.738687,-0.137364,0.230118,-0.366580
14.365176,12.545286,7.162992,2.723043,-0.137114,0.229843,-0.366438
14.343438,12.536470,7.165182,2.707408,-0.136864,0.229570,-0.366295
14.321569,12.527750,7.167286,2.691783,-0.136614,0.229298,-0.366152
14.299571,12.519126,7.169304,2.676168,-0.136363,0.229027,-0.366009
14.277442,12.510599,7.171234,2.660564,-0.136112,0.228757,-0.365867
14.255183,12.502170,7.173078,2.644970,-0.135861,0.228489,-0.365724
14.232794,12.493840,7.174834,2.629389,-0.135609,0.228221,-0.365581
14.210273,12.485609,7.176504,2.613819,-0.135357,0.227955,-0.365438
14.187622,12.477478,7.178086,2.598262,-0.135105,0.227690,-0.365295
14.164839,12.469448,7.179580,2.582717,-0.134852,0.227427,-0.365153
14.141926,12.461520,7.180987,2.567186,-0.134599,0.227165,-0.365010
14.118881,12.453694,7.182306,2.551670,-0.134345,0.226904,-0.364867
14.095704,12.445971,7.183537,2.536167,-0.134091,0.226645,-0.364724
14.072396,12.438352,7.184681,2.520680,-0.133837,0.226386,-0.364580
14.048955,12.430838,7.185736,2.505207,-0.133583,0.226129,-0.364437
14.025383,12.423429,7.186702,2.489751,-0.133328,0.225874,-0.364294
14.001679,12.416126,7.187581,2.474311,-0.133072,0.225620,-0.364151
13.977842,12.408929,7.188371,2.458888,-0.132816,0.225367,-0.364007
13.953873,12.401840,7.189073,2.443482,-0.132560,0.225116,-0.363864
13.929771,12.394859,7.189686,2.428094,-0.132304,0.224866,-0.363720
13.905537,12.387986,7.190210,2.412724,-0.132047,0.224617,-0.363577
13.881169,12.381223,7.190645,2.397373,-0.131789,0.224370,-0.363433
13.856669,12.374569,7.190992,2.382042,-0.131531,0.224125,-0.363289
13.832036,12.368026,7.191250,2.366730,-0.131273,0.223880,-0.363145
13.807270,12.361594,7.191419,2.351438,-0.131014,0.223637,-0.363001
13.782370,12.355273,7.191499,2.336168,-0.130755,0.223396,-0.362857
13.757338,12.349065,7.191490,2.320918,-0.130496,0.223156,-0.362712
13.732171,12.342970,7.191391,2.305690,-0.130236,0.222918,-0.362568
13.706872,12.336988,7.191204,2.290485,-0.129975,0.222681,-0.362423
13.681438,12.331120,7.190927,2.275302,-0.129714,0.222446,-0.362279
13.655871,12.325366,7.190561,2.260143,-0.129453,0.222212,-0.362134
13.630170,12.319728,7.190106,2.245007,-0.129191,0.221980,-0.361989
13.604336,12.314205,7.189562,2.229896,-0.128929,0.221749,-0.361844
13.578367,12.308799,7.188929,2.214809,-0.128666,0.221520,-0.361699
13.552264,12.303508,7.188206,2.199748,-0.128403,0.221292,-0.361553
13.526028,12.298335,7.187394,2.184712,-0.128139,0.221066,-0.361408
13.499657,12.293280,7.186492,2.169703,-0.127875,0.220841,-0.361262
13.473152,12.288343,7.185502,2.154721,-0.127610,0.220618,-0.361116
13.446513,12.283524,7.184422,2.139765,-0.127345,0.220397,-0.360971
13.419739,12.278824,7.183253,2.124838,-0.127080,0.220177,-0.360825
13.392831,12.274244,7.181994,2.109939,-0.126814,0.219958,-0.360678
13.365789,12.269783,7.180647,2.095069,-0.126547,0.219742,-0.360532
13.338612,12.265443,7.179210,2.080228,-0.126280,0.219527,-0.360386
